2025-01-06T15:28:28: 2025/01/06 15:28:28 Endpoint: GET http://localhost:4000/api-go/records
2025-01-06T15:28:28: 2025/01/06 15:28:28 Endpoint: GET http://localhost:4000/api-go/records/generate
2025-01-06T15:28:28: 2025/01/06 15:28:28 Endpoint: GET http://localhost:4000/api-go/records/time
2025-01-06T15:28:28: 2025/01/06 15:28:28 Endpoint: GET http://localhost:4000/api-go/records/:UID
2025-01-06T15:28:28: 2025/01/06 15:28:28 Endpoint: GET http://localhost:4000/api-go/health
2025-01-06T15:28:28: 2025/01/06 15:28:28 Endpoint: GET http://localhost:4000/api-go/swagger/*any
2025-01-06T15:28:28: 2025/01/06 15:28:28 Starting Go Backend on :4000
2025-01-06T15:29:41: 2025/01/06 15:29:41 100 records generated in: 73325 ms
2025-01-06T15:55:09: 2025/01/06 15:55:09 100 records generated in: 1601218 ms
2025-01-06T16:17:27: 2025/01/06 16:17:27 100 records generated in: 2939524 ms
2025-01-06T16:17:44: 2025/01/06 16:17:44 100 records generated in: 2956960 ms
2025-01-06T16:17:47: 2025/01/06 16:17:47 15000 records generated in: 2959363 ms
2025-01-06T16:17:59: 2025/01/06 16:17:59 100 records generated in: 2971143 ms
2025-01-06T16:18:01: 2025/01/06 16:18:01 1000 records generated in: 2973694 ms
2025-01-06T16:18:03: 2025/01/06 16:18:03 15000 records generated in: 2975753 ms
2025-01-06T16:18:06: 2025/01/06 16:18:06 100000 records generated in: 2978497 ms
2025-01-06T16:22:22: 2025/01/06 16:22:22 100 records generated in: 3234199 ms
2025-01-06T16:22:27: 2025/01/06 16:22:27 100 records generated in: 3239195 ms
2025-01-06T16:22:31: 2025/01/06 16:22:31 100000 records generated in: 3243372 ms
